"Date","Family","Sales","Type"
2013-01-16,"PREPARED FOODS",4412,"Actual"
2013-01-17,"FROZEN FOODS",3303,"Actual"
2013-01-17,"LIQUOR,WINE,BEER",8018.482,"Actual"
2013-01-17,"MEATS",23323.747984,"Actual"
2013-01-17,"POULTRY",21625.963055,"Actual"
2013-01-17,"PREPARED FOODS",4532.07199,"Actual"
2013-01-18,"FROZEN FOODS",4832.766002,"Actual"
2013-01-18,"LIQUOR,WINE,BEER",17260.196039,"Actual"
2013-01-18,"MEATS",22049.152885,"Actual"
2013-01-18,"POULTRY",4796,"Actual"
2013-01-18,"PREPARED FOODS",4764.538002,"Actual"
2013-01-19,"FROZEN FOODS",4661.663,"Actual"
2013-01-19,"LIQUOR,WINE,BEER",14072.87500325,"Actual"
2013-01-19,"MEATS",8750,"Actual"
2013-01-19,"POULTRY",4472.96599,"Actual"
2013-01-19,"PREPARED FOODS",17291.896005,"Actual"
2013-01-20,"FROZEN FOODS",28385.163,"Actual"
2013-01-20,"LIQUOR,WINE,BEER",1872,"Actual"
2013-01-20,"MEATS",6026.105975,"Actual"
2013-01-20,"POULTRY",4525.9340042,"Actual"
2013-01-20,"PREPARED FOODS",15220.316993,"Actual"
2013-01-21,"FROZEN FOODS",25262.9901226,"Actual"
2013-01-21,"LIQUOR,WINE,BEER",4529.116006,"Actual"
2013-01-21,"MEATS",11317.723991,"Actual"
2013-01-21,"POULTRY",13475.009055,"Actual"
2013-01-21,"PREPARED FOODS",2563,"Actual"
2013-01-22,"FROZEN FOODS",6036,"Actual"
2013-01-22,"LIQUOR,WINE,BEER",4361.81902,"Actual"
2013-01-22,"MEATS",26374.972994,"Actual"
2013-01-22,"POULTRY",20879.09105,"Actual"
2013-01-22,"PREPARED FOODS",5204.378004,"Actual"
2013-01-23,"FROZEN FOODS",5652.705008,"Actual"
2013-01-23,"LIQUOR,WINE,BEER",15934.291045,"Actual"
2013-01-23,"MEATS",20651.700954,"Actual"
2013-01-23,"POULTRY",6715,"Actual"
2013-01-23,"PREPARED FOODS",5200.517012,"Actual"
2013-01-24,"FROZEN FOODS",6825.300002,"Actual"
2013-01-24,"LIQUOR,WINE,BEER",14075.193,"Actual"
2013-01-24,"MEATS",0,"Actual"
2013-01-24,"POULTRY",5830.07302,"Actual"
2013-01-24,"PREPARED FOODS",15864.141045,"Actual"
2013-01-25,"FROZEN FOODS",23091.282016,"Actual"
2013-01-25,"LIQUOR,WINE,BEER",1940,"Actual"
2013-01-25,"MEATS",6348.44901,"Actual"
2013-01-25,"POULTRY",5781.60501,"Actual"
2013-01-25,"PREPARED FOODS",17508.416126,"Actual"
2013-01-26,"FROZEN FOODS",20248.667,"Actual"
2013-01-26,"LIQUOR,WINE,BEER",4365.94801,"Actual"
2013-01-26,"MEATS",10526.430997,"Actual"
2013-01-26,"POULTRY",15921.096981,"Actual"
2013-01-26,"PREPARED FOODS",3152,"Actual"
2013-01-27,"FROZEN FOODS",8189,"Actual"
2013-01-27,"LIQUOR,WINE,BEER",4362.846002,"Actual"
2013-01-27,"MEATS",18513.72799,"Actual"
2013-01-27,"POULTRY",21880.005115,"Actual"
2013-01-27,"PREPARED FOODS",4726.300992,"Actual"
2013-01-28,"FROZEN FOODS",6968.48599,"Actual"
2013-01-28,"LIQUOR,WINE,BEER",16364.721025,"Actual"
2013-01-28,"MEATS",16767.425033,"Actual"
2013-01-28,"POULTRY",0,"Actual"
2013-01-28,"PREPARED FOODS",5088.050998,"Actual"
2013-01-29,"FROZEN FOODS",9881.997,"Actual"
2013-01-29,"LIQUOR,WINE,BEER",14072.87500325,"Actual"
2013-01-29,"MEATS",6645,"Actual"
2013-01-29,"POULTRY",6233.71499,"Actual"
2013-01-29,"PREPARED FOODS",27101.017024,"Actual"
2013-01-30,"FROZEN FOODS",25182.44893,"Actual"
2013-01-30,"LIQUOR,WINE,BEER",2336,"Actual"
2013-01-30,"MEATS",4389.410031,"Actual"
2013-01-30,"POULTRY",6114.88201,"Actual"
2013-01-30,"PREPARED FOODS",24191.613024,"Actual"
2013-01-31,"FROZEN FOODS",21028.632914,"Actual"
2013-01-31,"LIQUOR,WINE,BEER",4694.766998,"Actual"
2013-01-31,"MEATS",10468.635053,"Actual"
2013-01-31,"POULTRY",10086.555999,"Actual"
2013-01-31,"PREPARED FOODS",5647,"Actual"
2013-02-01,"FROZEN FOODS",3431,"Actual"
2013-02-01,"LIQUOR,WINE,BEER",5038.142999,"Actual"
2013-02-01,"MEATS",15786.39899,"Actual"
2013-02-01,"POULTRY",18314.175078,"Actual"
2013-02-01,"PREPARED FOODS",5946.63202,"Actual"
2013-02-02,"FROZEN FOODS",7225.2560036,"Actual"
2013-02-02,"LIQUOR,WINE,BEER",15179.312991,"Actual"
2013-02-02,"MEATS",16208.379962,"Actual"
2013-02-02,"POULTRY",1865,"Actual"
2013-02-02,"PREPARED FOODS",6910.77,"Actual"
2013-02-03,"FROZEN FOODS",7723.477998,"Actual"
2013-02-03,"LIQUOR,WINE,BEER",14072.87500325,"Actual"
2013-02-03,"MEATS",3115,"Actual"
2013-02-03,"POULTRY",3806.28799225,"Actual"
2013-02-03,"PREPARED FOODS",26972.49293,"Actual"
2013-02-04,"FROZEN FOODS",16143.457978,"Actual"
2013-02-04,"LIQUOR,WINE,BEER",2751,"Actual"
2013-02-04,"MEATS",4124.582999,"Actual"
2013-02-04,"POULTRY",3823.622,"Actual"
2013-02-04,"PREPARED FOODS",20944.34704,"Actual"
2013-02-05,"FROZEN FOODS",15447.127,"Actual"
2013-02-05,"LIQUOR,WINE,BEER",3960.37799,"Actual"
2013-02-05,"MEATS",15545.6562082,"Actual"
2013-02-05,"POULTRY",8724.139959,"Actual"
2013-02-05,"PREPARED FOODS",8440,"Actual"
2013-02-06,"FROZEN FOODS",2038,"Actual"
2013-02-06,"LIQUOR,WINE,BEER",4402.131004,"Actual"
2013-02-06,"MEATS",17599.873996,"Actual"
2013-02-06,"POULTRY",16200.319985,"Actual"
2013-02-06,"PREPARED FOODS",7225.2560036,"Actual"
2013-02-07,"FROZEN FOODS",5305.362987,"Actual"
2013-02-07,"LIQUOR,WINE,BEER",21020.0211,"Actual"
2013-02-07,"MEATS",15587.374004,"Actual"
2013-02-07,"POULTRY",2009,"Actual"
2013-02-07,"PREPARED FOODS",10129.736,"Actual"
2013-02-08,"FROZEN FOODS",4797.136002,"Actual"
2013-02-08,"LIQUOR,WINE,BEER",19767.171,"Actual"
2013-02-08,"MEATS",4043,"Actual"
2013-02-08,"POULTRY",3806.28799225,"Actual"
2013-02-08,"PREPARED FOODS",28773.7526314,"Actual"
2013-02-09,"FROZEN FOODS",16048.78601,"Actual"
2013-02-09,"LIQUOR,WINE,BEER",5791,"Actual"
2013-02-09,"MEATS",4195.231999,"Actual"
2013-02-09,"POULTRY",3791.49834845,"Actual"
2013-02-09,"PREPARED FOODS",21124.911955,"Actual"
2013-02-10,"FROZEN FOODS",15274.11905,"Actual"
2013-02-10,"LIQUOR,WINE,BEER",4437.509024,"Actual"
2013-02-10,"MEATS",12255.0119,"Actual"
2013-02-10,"POULTRY",8488.299022,"Actual"
2013-02-10,"PREPARED FOODS",0,"Actual"
2013-02-11,"FROZEN FOODS",2421,"Actual"
2013-02-11,"LIQUOR,WINE,BEER",6119.015012,"Actual"
2013-02-11,"MEATS",15887.834035,"Actual"
2013-02-11,"POULTRY",19139.782952,"Actual"
2013-02-11,"PREPARED FOODS",7225.2560036,"Actual"
2013-02-12,"FROZEN FOODS",5056.91602,"Actual"
2013-02-12,"LIQUOR,WINE,BEER",24447.298016,"Actual"
2013-02-12,"MEATS",14416.034953,"Actual"
2013-02-12,"POULTRY",2256,"Actual"
2013-02-12,"PREPARED FOODS",8280.28,"Actual"
2013-02-13,"FROZEN FOODS",4819.092998,"Actual"
2013-02-13,"LIQUOR,WINE,BEER",19072.260022,"Actual"
2013-02-13,"MEATS",4820,"Actual"
2013-02-13,"POULTRY",3994.900002,"Actual"
2013-02-13,"PREPARED FOODS",18598.059044,"Actual"
2013-02-14,"FROZEN FOODS",16125.66001,"Actual"
2013-02-14,"LIQUOR,WINE,BEER",8739,"Actual"
2013-02-14,"MEATS",3806.28799225,"Actual"
2013-02-14,"POULTRY",3791.49834845,"Actual"
2013-02-14,"PREPARED FOODS",15929.063002,"Actual"
2013-02-15,"FROZEN FOODS",14634.99699,"Actual"
2013-02-15,"LIQUOR,WINE,BEER",6111.018008,"Actual"
2013-02-15,"MEATS",11800.190007,"Actual"
2013-02-15,"POULTRY",8419.2867103,"Actual"
2013-02-15,"PREPARED FOODS",2268,"Actual"
2013-02-16,"FROZEN FOODS",3410,"Actual"
2013-02-16,"LIQUOR,WINE,BEER",8659.891,"Actual"
2013-02-16,"MEATS",24213.925018,"Actual"
2013-02-16,"POULTRY",15144.950044,"Actual"
2013-02-16,"PREPARED FOODS",5210.764988,"Actual"
2013-02-17,"FROZEN FOODS",5060.839005,"Actual"
2013-02-17,"LIQUOR,WINE,BEER",28773.7526314,"Actual"
2013-02-17,"MEATS",20712.179973,"Actual"
2013-02-17,"POULTRY",2881,"Actual"
2013-02-17,"PREPARED FOODS",5274.837002,"Actual"
2013-02-18,"FROZEN FOODS",5068.909008,"Actual"
2013-02-18,"LIQUOR,WINE,BEER",20975.191006,"Actual"
2013-02-18,"MEATS",8390,"Actual"
2013-02-18,"POULTRY",3806.28799225,"Actual"
2013-02-18,"PREPARED FOODS",18183.916,"Actual"
2013-02-19,"FROZEN FOODS",13340.799976,"Actual"
2013-02-19,"LIQUOR,WINE,BEER",0,"Actual"
2013-02-19,"MEATS",4352.648984,"Actual"
2013-02-19,"POULTRY",3791.49834845,"Actual"
2013-02-19,"PREPARED FOODS",16098.405993,"Actual"
2013-02-20,"FROZEN FOODS",15816.640966,"Actual"
2013-02-20,"LIQUOR,WINE,BEER",6881.71302,"Actual"
2013-02-20,"MEATS",15545.6562082,"Actual"
2013-02-20,"POULTRY",9349.832018,"Actual"
2013-02-20,"PREPARED FOODS",2722,"Actual"
2013-02-21,"FROZEN FOODS",3061,"Actual"
2013-02-21,"LIQUOR,WINE,BEER",8267.489,"Actual"
2013-02-21,"MEATS",23079.82601,"Actual"
2013-02-21,"POULTRY",20400.72507,"Actual"
2013-02-21,"PREPARED FOODS",5153.754997,"Actual"
2013-02-22,"FROZEN FOODS",4441.348983,"Actual"
2013-02-22,"LIQUOR,WINE,BEER",18606.507998,"Actual"
2013-02-22,"MEATS",19269.329958,"Actual"
2013-02-22,"POULTRY",5044,"Actual"
2013-02-22,"PREPARED FOODS",5266.598005,"Actual"
2013-02-23,"FROZEN FOODS",4697.823002,"Actual"
2013-02-23,"LIQUOR,WINE,BEER",14072.87500325,"Actual"
2013-02-23,"MEATS",11055.95,"Actual"
2013-02-23,"POULTRY",4216.016982,"Actual"
2013-02-23,"PREPARED FOODS",16502.53603,"Actual"
2013-02-24,"FROZEN FOODS",27448.991862,"Actual"
2013-02-24,"LIQUOR,WINE,BEER",2234,"Actual"
2013-02-24,"MEATS",5607.826998,"Actual"
2013-02-24,"POULTRY",3791.49834845,"Actual"
2013-02-24,"PREPARED FOODS",15148.06305,"Actual"
2013-02-25,"FROZEN FOODS",25262.9901226,"Actual"
2013-02-25,"LIQUOR,WINE,BEER",4745.907036,"Actual"
2013-02-25,"MEATS",15545.6562082,"Actual"
2013-02-25,"POULTRY",11391.5189905,"Actual"
2013-02-25,"PREPARED FOODS",3052,"Actual"
2013-02-26,"FROZEN FOODS",6444,"Actual"
2013-02-26,"LIQUOR,WINE,BEER",4900.319998,"Actual"
2013-02-26,"MEATS",26910.164034,"Actual"
2013-02-26,"POULTRY",19029.047018,"Actual"
2013-02-26,"PREPARED FOODS",5151.45,"Actual"
2013-02-27,"FROZEN FOODS",5417.177,"Actual"
2013-02-27,"LIQUOR,WINE,BEER",16680.3479,"Actual"
2013-02-27,"MEATS",20710.732985,"Actual"
2013-02-27,"POULTRY",7246,"Actual"
2013-02-27,"PREPARED FOODS",5581.953983,"Actual"
2013-02-28,"FROZEN FOODS",7069.650003,"Actual"
2013-02-28,"LIQUOR,WINE,BEER",14072.87500325,"Actual"
2013-02-28,"MEATS",0,"Actual"
2013-02-28,"POULTRY",5973.948004,"Actual"
2013-02-28,"PREPARED FOODS",14503.56601,"Actual"
2013-03-01,"FROZEN FOODS",21986.81896,"Actual"
2013-03-01,"LIQUOR,WINE,BEER",2113,"Actual"
2013-03-01,"MEATS",6457.670995,"Actual"
2013-03-01,"POULTRY",4587.602998,"Actual"
2013-03-01,"PREPARED FOODS",16462.195982,"Actual"
2013-03-02,"FROZEN FOODS",19921.15,"Actual"
2013-03-02,"LIQUOR,WINE,BEER",4227.474001,"Actual"
2013-03-02,"MEATS",15545.6562082,"Actual"
2013-03-02,"POULTRY",14662.882989,"Actual"
2013-03-02,"PREPARED FOODS",3389,"Actual"
2013-03-03,"FROZEN FOODS",8904,"Actual"
2013-03-03,"LIQUOR,WINE,BEER",4792.606986,"Actual"
2013-03-03,"MEATS",20808.138864,"Actual"
2013-03-03,"POULTRY",20346.38496,"Actual"
2013-03-03,"PREPARED FOODS",4644.511,"Actual"
2013-03-04,"FROZEN FOODS",6481.276002,"Actual"
2013-03-04,"LIQUOR,WINE,BEER",16311.145003,"Actual"
2013-03-04,"MEATS",17780.56508,"Actual"
2013-03-04,"POULTRY",0,"Actual"
2013-03-04,"PREPARED FOODS",5128.734,"Actual"
2013-03-05,"FROZEN FOODS",9833.434,"Actual"
2013-03-05,"LIQUOR,WINE,BEER",14072.87500325,"Actual"
2013-03-05,"MEATS",4366,"Actual"
2013-03-05,"POULTRY",6458.00001,"Actual"
2013-03-05,"PREPARED FOODS",23825.02498,"Actual"
2013-03-06,"FROZEN FOODS",24087.666025,"Actual"
2013-03-06,"LIQUOR,WINE,BEER",2838,"Actual"
2013-03-06,"MEATS",4866.48397,"Actual"
2013-03-06,"POULTRY",5212.57901,"Actual"
2013-03-06,"PREPARED FOODS",22633.564995,"Actual"
2013-03-07,"FROZEN FOODS",19476.45393,"Actual"
2013-03-07,"LIQUOR,WINE,BEER",4360.792976,"Actual"
2013-03-07,"MEATS",15545.6562082,"Actual"
2013-03-07,"POULTRY",8419.2867103,"Actual"
2013-03-07,"PREPARED FOODS",6705,"Actual"
2013-03-08,"FROZEN FOODS",3402,"Actual"
2013-03-08,"LIQUOR,WINE,BEER",5287.414,"Actual"
2013-03-08,"MEATS",19148.225005,"Actual"
2013-03-08,"POULTRY",15157.171045,"Actual"
2013-03-08,"PREPARED FOODS",5649.383001,"Actual"
2013-03-09,"FROZEN FOODS",6900.99998,"Actual"
2013-03-09,"LIQUOR,WINE,BEER",16625.87606,"Actual"
2013-03-09,"MEATS",16648.826002,"Actual"
2013-03-09,"POULTRY",1869,"Actual"
2013-03-09,"PREPARED FOODS",6721.09403,"Actual"
2013-03-10,"FROZEN FOODS",7429.95,"Actual"
2013-03-10,"LIQUOR,WINE,BEER",15272.020982,"Actual"
2013-03-10,"MEATS",5385,"Actual"
2013-03-10,"POULTRY",3806.28799225,"Actual"
2013-03-10,"PREPARED FOODS",23623.752,"Actual"
2013-03-11,"FROZEN FOODS",15726.25501,"Actual"
2013-03-11,"LIQUOR,WINE,BEER",3143,"Actual"
2013-03-11,"MEATS",4517.712,"Actual"
2013-03-11,"POULTRY",3791.49834845,"Actual"
2013-03-11,"PREPARED FOODS",19961.871967,"Actual"
2013-03-12,"FROZEN FOODS",14553.04798,"Actual"
2013-03-12,"LIQUOR,WINE,BEER",4330.293007,"Actual"
2013-03-12,"MEATS",15545.6562082,"Actual"
2013-03-12,"POULTRY",8715.745979,"Actual"
2013-03-12,"PREPARED FOODS",9068,"Actual"
2013-03-13,"FROZEN FOODS",2001,"Actual"
2013-03-13,"LIQUOR,WINE,BEER",5134.135,"Actual"
2013-03-13,"MEATS",21264.960838,"Actual"
2013-03-13,"POULTRY",21466.086959,"Actual"
2013-03-13,"PREPARED FOODS",6808.415975,"Actual"
2013-03-14,"FROZEN FOODS",4993.47098,"Actual"
2013-03-14,"LIQUOR,WINE,BEER",22232.564986,"Actual"
2013-03-14,"MEATS",16309.349011,"Actual"
2013-03-14,"POULTRY",1855,"Actual"
2013-03-14,"PREPARED FOODS",10108.203,"Actual"
2013-03-15,"FROZEN FOODS",5004.306,"Actual"
2013-03-15,"LIQUOR,WINE,BEER",19729.785994,"Actual"
2013-03-15,"MEATS",7519,"Actual"
2013-03-15,"POULTRY",3806.28799225,"Actual"
2013-03-15,"PREPARED FOODS",27023.562065,"Actual"
2013-03-16,"FROZEN FOODS",13858.440003,"Actual"
2013-03-16,"LIQUOR,WINE,BEER",5355,"Actual"
2013-03-16,"MEATS",4696.38602,"Actual"
2013-03-16,"POULTRY",3791.49834845,"Actual"
2013-03-16,"PREPARED FOODS",21354.95797,"Actual"
2013-03-17,"FROZEN FOODS",14072.87500325,"Actual"
2013-03-17,"LIQUOR,WINE,BEER",4619.808956,"Actual"
2013-03-17,"MEATS",15545.6562082,"Actual"
2013-03-17,"POULTRY",9081.146008,"Actual"
2013-03-17,"PREPARED FOODS",0,"Actual"
2013-03-18,"FROZEN FOODS",2257,"Actual"
2013-03-18,"LIQUOR,WINE,BEER",6523.759018,"Actual"
2013-03-18,"MEATS",22019.448986,"Actual"
2013-03-18,"POULTRY",16758.84696,"Actual"
2013-03-18,"PREPARED FOODS",7225.2560036,"Actual"
2013-03-19,"FROZEN FOODS",4445.298,"Actual"
2013-03-19,"LIQUOR,WINE,BEER",23960.93604,"Actual"
2013-03-19,"MEATS",16951.566996,"Actual"
2013-03-19,"POULTRY",2484,"Actual"
2013-03-19,"PREPARED FOODS",8400.39498,"Actual"
2013-03-20,"FROZEN FOODS",4539.203002,"Actual"
2013-03-20,"LIQUOR,WINE,BEER",18287.18101,"Actual"
2013-03-20,"MEATS",8356,"Actual"
2013-03-20,"POULTRY",4629.745995,"Actual"
2013-03-20,"PREPARED FOODS",16209.21695,"Actual"
2013-03-21,"FROZEN FOODS",14485.636984,"Actual"
2013-03-21,"LIQUOR,WINE,BEER",8346,"Actual"
2013-03-21,"MEATS",4752.22699,"Actual"
2013-03-21,"POULTRY",3791.49834845,"Actual"
2013-03-21,"PREPARED FOODS",14915.904058,"Actual"
2013-03-22,"FROZEN FOODS",14072.87500325,"Actual"
2013-03-22,"LIQUOR,WINE,BEER",6393.033976,"Actual"
2013-03-22,"MEATS",15545.6562082,"Actual"
2013-03-22,"POULTRY",8419.2867103,"Actual"
2013-03-22,"PREPARED FOODS",2232,"Actual"
2013-03-23,"FROZEN FOODS",2556,"Actual"
2013-03-23,"LIQUOR,WINE,BEER",8695.983014,"Actual"
2013-03-23,"MEATS",25540.578124,"Actual"
2013-03-23,"POULTRY",15596.239996,"Actual"
2013-03-23,"PREPARED FOODS",4905.827008,"Actual"
2013-03-24,"FROZEN FOODS",5043.437,"Actual"
2013-03-24,"LIQUOR,WINE,BEER",28601.78903,"Actual"
2013-03-24,"MEATS",18051.64801,"Actual"
2013-03-24,"POULTRY",2603,"Actual"
2013-03-24,"PREPARED FOODS",5045.699998,"Actual"
2013-03-25,"FROZEN FOODS",5092.505002,"Actual"
2013-03-25,"LIQUOR,WINE,BEER",18907.159988,"Actual"
2013-03-25,"MEATS",11055.95,"Actual"
2013-03-25,"POULTRY",3824.448,"Actual"
2013-03-25,"PREPARED FOODS",15165.76003,"Actual"
2013-03-26,"FROZEN FOODS",12975.155976,"Actual"
2013-03-26,"LIQUOR,WINE,BEER",0,"Actual"
2013-03-26,"MEATS",4767.885013,"Actual"
2013-03-26,"POULTRY",3791.49834845,"Actual"
2013-03-26,"PREPARED FOODS",14072.87500325,"Actual"
2013-03-27,"FROZEN FOODS",15386.30599,"Actual"
2013-03-27,"LIQUOR,WINE,BEER",6781.990999,"Actual"
2013-03-27,"MEATS",15545.6562082,"Actual"
2013-03-27,"POULTRY",9281.115986,"Actual"
2013-03-27,"PREPARED FOODS",2314,"Actual"
2013-03-28,"FROZEN FOODS",3049,"Actual"
2013-03-28,"LIQUOR,WINE,BEER",7876.206996,"Actual"
2013-03-28,"MEATS",28719.77399,"Actual"
2013-03-28,"POULTRY",20140.309014,"Actual"
2013-03-28,"PREPARED FOODS",4566.469998,"Actual"
2013-03-29,"FROZEN FOODS",4380.862993,"Actual"
2013-03-29,"LIQUOR,WINE,BEER",18458.864005,"Actual"
2013-03-29,"MEATS",18237.015968,"Actual"
2013-03-29,"POULTRY",4872,"Actual"
2013-03-29,"PREPARED FOODS",4906.357011,"Actual"
2013-03-30,"FROZEN FOODS",4544.734002,"Actual"
2013-03-30,"LIQUOR,WINE,BEER",14072.87500325,"Actual"
2013-03-30,"MEATS",11055.95,"Actual"
2013-03-30,"POULTRY",4261.301016,"Actual"
2013-03-30,"PREPARED FOODS",15445.749995,"Actual"
2013-03-31,"FROZEN FOODS",27331.608903,"Actual"
2013-03-31,"LIQUOR,WINE,BEER",2338,"Actual"
2013-03-31,"MEATS",5827.496972,"Actual"
2013-03-31,"POULTRY",3791.49834845,"Actual"
2013-03-31,"PREPARED FOODS",14072.87500325,"Actual"
2013-04-01,"FROZEN FOODS",25262.9901226,"Actual"
2013-04-01,"LIQUOR,WINE,BEER",4401.235024,"Actual"
2013-04-01,"MEATS",15545.6562082,"Actual"
2013-04-01,"POULTRY",12669.534942,"Actual"
2013-04-01,"PREPARED FOODS",2859,"Actual"
2013-04-02,"FROZEN FOODS",6268,"Actual"
2013-04-02,"LIQUOR,WINE,BEER",5725.600009,"Actual"
2013-04-02,"MEATS",28773.7526314,"Actual"
2013-04-02,"POULTRY",19438.808995,"Actual"
2013-04-02,"PREPARED FOODS",4745.793991,"Actual"
2013-04-03,"FROZEN FOODS",5743.654004,"Actual"
2013-04-03,"LIQUOR,WINE,BEER",16188.14901,"Actual"
2013-04-03,"MEATS",19642.391,"Actual"
2013-04-03,"POULTRY",7638,"Actual"
2013-04-03,"PREPARED FOODS",5174.073,"Actual"
2013-04-04,"FROZEN FOODS",7064.850996,"Actual"
2013-04-04,"LIQUOR,WINE,BEER",14072.87500325,"Actual"
2013-04-04,"MEATS",0,"Actual"
2013-04-04,"POULTRY",6256.31304,"Actual"
2013-04-04,"PREPARED FOODS",13457.241022,"Actual"
2013-04-05,"FROZEN FOODS",28061.019886,"Actual"
2013-04-05,"LIQUOR,WINE,BEER",2436,"Actual"
2013-04-05,"MEATS",6058.21696,"Actual"
2013-04-05,"POULTRY",4806.186009,"Actual"
2013-04-05,"PREPARED FOODS",14648.205052,"Actual"
2013-04-06,"FROZEN FOODS",24851.20704,"Actual"
2013-04-06,"LIQUOR,WINE,BEER",4128.562997,"Actual"
2013-04-06,"MEATS",15545.6562082,"Actual"
2013-04-06,"POULTRY",14530.792997,"Actual"
2013-04-06,"PREPARED FOODS",3777,"Actual"
2013-04-07,"FROZEN FOODS",9266,"Actual"
2013-04-07,"LIQUOR,WINE,BEER",5016.436995,"Actual"
2013-04-07,"MEATS",28773.7526314,"Actual"
2013-04-07,"POULTRY",19616.94404,"Actual"
2013-04-07,"PREPARED FOODS",4453.130999,"Actual"
2013-04-08,"FROZEN FOODS",7225.2560036,"Actual"
2013-04-08,"LIQUOR,WINE,BEER",17505.318018,"Actual"
